
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="p_actor",="p_actor",="seconcilio",="p_actor",="seconcilio"

="main",="",="",="",="",=""
="1.treatment",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(0)",="(.)",="(0)"

="2.treatment",="0.030*",="0.11",="0.0084",="0.11*",="0.0090"
="",="(0.018)",="(0.068)",="(0.014)",="(0.069)",="(0.014)"

="3.treatment",="-0.023",="-0.088",="0.023",="-0.089",="0.023"
="",="(0.020)",="(0.081)",="(0.019)",="(0.082)",="(0.021)"

="time_instrument",="0.069***",="0.26***",="",="",=""
="",="(0.015)",="(0.053)",="",="",=""

="2.junta",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(0)",="(.)",="(0)"

="7.junta",="0.062**",="0.24**",="-0.063**",="0.24*",="-0.062*"
="",="(0.029)",="(0.12)",="(0.030)",="(0.13)",="(0.032)"

="9.junta",="0.037",="0.16",="-0.0077",="0.15",="-0.0072"
="",="(0.034)",="(0.14)",="(0.037)",="(0.14)",="(0.039)"

="11.junta",="0.00099",="0.0018",="0.21***",="0.0094",="0.21***"
="",="(0.036)",="(0.16)",="(0.042)",="(0.15)",="(0.046)"

="16.junta",="0.069",="0.27",="-0.051",="0.28*",="-0.049"
="",="(0.045)",="(0.17)",="(0.031)",="(0.17)",="(0.032)"

="0.p_actor",="",="",="0",="",="0"
="",="",="",="(0)",="",="(0)"

="1.p_actor",="",="",="0.47**",="",="0.45**"
="",="",="",="(0.21)",="",="(0.19)"

="1.treatment#0.p_actor",="",="",="0",="",="0"
="",="",="",="(0)",="",="(0)"

="1.treatment#1.p_actor",="",="",="0",="",="0"
="",="",="",="(0)",="",="(0)"

="2.treatment#0.p_actor",="",="",="0",="",="0"
="",="",="",="(0)",="",="(0)"

="2.treatment#1.p_actor",="",="",="0.16***",="",="0.16***"
="",="",="",="(0.054)",="",="(0.057)"

="3.treatment#0.p_actor",="",="",="0",="",="0"
="",="",="",="(0)",="",="(0)"

="3.treatment#1.p_actor",="",="",="0.17**",="",="0.17**"
="",="",="",="(0.074)",="",="(0.071)"

="gen_resid_pr",="",="",="-0.19",="",=""
="",="",="",="(0.12)",="",=""

="time_hr2",="",="",="",="-0.12",=""
="",="",="",="",="(0.14)",=""

="time_hr3",="",="",="",="-0.36***",=""
="",="",="",="",="(0.092)",=""

="time_hr4",="",="",="",="-0.16",=""
="",="",="",="",="(0.12)",=""

="time_hr5",="",="",="",="-0.28***",=""
="",="",="",="",="(0.093)",=""

="time_hr6",="",="",="",="-0.48***",=""
="",="",="",="",="(0.17)",=""

="time_hr7",="",="",="",="-0.078",=""
="",="",="",="",="(0.12)",=""

="time_hr8",="",="",="",="-0.0036",=""
="",="",="",="",="(0.44)",=""

="gen_resid_pr8",="",="",="",="",="-0.18*"
="",="",="",="",="",="(0.11)"

="_cons",="0.095***",="-1.25***",="0.053",="-0.94***",="0.055"
="",="(0.027)",="(0.11)",="(0.040)",="(0.16)",="(0.037)"

="N",="2166",="2166",="2166",="2166",="2166"
="R-sq",="0.013",="",="0.135",="",="0.135"
="DepVarMean",="",="",="0.15",="",="0.15"
="InteractionVarMean",="",="",="0.18",="",="0.18"
="Pvalue_c",="0.018",="0.019",="0.47",="0.017",="0.53"
="Pvalue",="",="",="0.91",="",="0.89"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
